Geracao,ID_Original,Cromossomo,Distancia_KM,Tempo_H,Pedagio_R$
59,43,9 - 6 - 3 - 0 - 1 - 2 - 7 - 8 - 5 - 4,409.09,86.50,220.00
59,44,5 - 8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4,384.35,75.50,287.00
59,45,5 - 9 - 6 - 3 - 1 - 0 - 2 - 7 - 8 - 4,366.06,72.00,318.00
59,46,2 - 8 - 7 - 4 - 5 - 9 - 6 - 3 - 0 - 1,375.24,68.50,325.00
59,47,5 - 8 - 7 - 6 - 9 - 3 - 1 - 0 - 2 - 4,381.55,79.00,278.00
59,48,6 - 9 - 3 - 0 - 1 - 2 - 7 - 8 - 5 - 4,424.26,85.50,217.00
59,49,5 - 8 - 7 - 9 - 6 - 3 - 1 - 0 - 2 - 4,367.20,80.00,291.00
59,50,4 - 9 - 6 - 3 - 1 - 0 - 2 - 7 - 8 - 5,406.30,90.00,211.00
59,51,5 - 8 - 7 - 9 - 6 - 3 - 0 - 1 - 2 - 4,370.00,76.50,300.00
59,52,5 - 8 - 7 - 9 - 6 - 3 - 0 - 1 - 2 - 4,370.00,76.50,300.00
59,53,5 - 8 - 7 - 9 - 6 - 0 - 3 - 1 - 2 - 4,374.94,83.50,290.00
59,54,5 - 8 - 7 - 9 - 6 - 3 - 1 - 0 - 2 - 4,367.20,80.00,291.00
59,55,7 - 8 - 5 - 9 - 6 - 3 - 0 - 1 - 2 - 4,373.70,73.50,315.00
59,56,4 - 5 - 7 - 8 - 2 - 0 - 1 - 3 - 6 - 9,406.12,92.00,216.00
59,57,5 - 9 - 6 - 3 - 1 - 0 - 2 - 7 - 8 - 4,366.06,72.00,318.00
59,58,7 - 8 - 4 - 5 - 9 - 6 - 3 - 0 - 1 - 2,368.86,68.50,327.00
59,59,5 - 9 - 6 - 3 - 1 - 0 - 2 - 4 - 8 - 7,364.34,79.00,313.00
59,60,5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2 - 4,378.60,68.00,371.00
59,61,7 - 8 - 3 - 0 - 1 - 2 - 4 - 5 - 9 - 6,372.28,68.00,375.00
59,62,9 - 6 - 3 - 0 - 1 - 2 - 8 - 7 - 5 - 4,408.91,88.50,225.00
59,63,4 - 5 - 9 - 6 - 3 - 1 - 0 - 2 - 8 - 7,372.45,72.00,316.00
59,64,5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2 - 4,378.60,68.00,371.00
59,65,7 - 8 - 5 - 9 - 6 - 3 - 0 - 1 - 2 - 4,373.70,73.50,315.00
59,66,8 - 5 - 4 - 6 - 9 - 3 - 1 - 0 - 2 - 7,421.46,89.00,208.00
